Name,Publisher,Installed On,Size (MB),Version,Install Location,Source
MicrosoftWindows.UndockedDevKit,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\MicrosoftWindows.UndockedDevKit_cw5n1h2txyewy,store_apps
Microsoft.Windows.ContentDeliveryManager,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,store_apps
Windows.CBSPreview,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Windows.CBSPreview_cw5n1h2txyewy,store_apps
NcsiUwpApp,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1000.19041.4239.0,C:\Windows\SystemApps\NcsiUwpApp_8wekyb3d8bbwe,store_apps
Microsoft.XboxGameCallableUI,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1000.19041.4239.0,C:\Windows\SystemApps\Microsoft.XboxGameCallableUI_cw5n1h2txyewy,store_apps
Microsoft.Windows.XGpuEjectDialog,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Microsoft.Windows.XGpuEjectDialog_cw5n1h2txyewy,store_apps
Microsoft.Windows.SecureAssessmentBrowser,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy,store_apps
Microsoft.Windows.SecHealthUI,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Microsoft.Windows.SecHealthUI_cw5n1h2txyewy,store_apps
Microsoft.Windows.PinningConfirmationDialog,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1000.19041.4239.0,C:\Windows\SystemApps\Microsoft.Windows.PinningConfirmationDialog_cw5n1h2txyewy,store_apps
Microsoft.Windows.PeopleExperienceHost,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Microsoft.Windows.PeopleExperienceHost_cw5n1h2txyewy,store_apps
Microsoft.Windows.ParentalControls,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1000.19041.4239.0,C:\Windows\SystemApps\ParentalControls_cw5n1h2txyewy,store_apps
Microsoft.Windows.NarratorQuickStart,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\microsoft.windows.narratorquickstart_8wekyb3d8bbwe,store_apps
Microsoft.Windows.CapturePicker,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Microsoft.Windows.CapturePicker_cw5n1h2txyewy,store_apps
Microsoft.Windows.CallingShellApp,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1000.19041.4239.0,C:\Windows\SystemApps\Microsoft.Windows.CallingShellApp_cw5n1h2txyewy,store_apps
Microsoft.Windows.AssignedAccessLockApp,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1000.19041.4239.0,C:\Windows\SystemApps\Microsoft.Windows.AssignedAccessLockApp_cw5n1h2txyewy,store_apps
Microsoft.Windows.Apprep.ChxApp,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1000.19041.4239.0,C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy,store_apps
Microsoft.Win32WebViewHost,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Microsoft.Win32WebViewHost_cw5n1h2txyewy,store_apps
